drug1,drug2,cell,label
Sorafenib,Bivalirudin,HEPG2,0
Sorafenib,Leuprolide,HEPG2,0
Sorafenib,Goserelin,HEPG2,0
Sorafenib,Desmopressin,HEPG2,0
Sorafenib,Cetrorelix,HEPG2,0
Sorafenib,Vasopressin,HEPG2,0
Sorafenib,Abarelix,HEPG2,0
Sorafenib,Pyridoxal phosphate,HEPG2,0
Sorafenib,Cyanocobalamin,HEPG2,0
Sorafenib,Ademetionine,HEPG2,0
Sorafenib,Pyruvic acid,HEPG2,0
Sorafenib,Phenylalanine,HEPG2,0
Sorafenib,Biotin,HEPG2,0
Sorafenib,Choline,HEPG2,0
Sorafenib,Lysine,HEPG2,0
Sorafenib,Ascorbic acid,HEPG2,0
Sorafenib,Aspartic acid,HEPG2,0
Sorafenib,Ornithine,HEPG2,0
Sorafenib,L-Glutamine,HEPG2,0
Sorafenib,Methionine,HEPG2,0
Sorafenib,Tyrosine,HEPG2,0
Sorafenib,Calcitriol,HEPG2,0
Sorafenib,Cystine,HEPG2,0
Sorafenib,Riboflavin,HEPG2,0
Sorafenib,N-Acetylglucosamine,HEPG2,0
Sorafenib,Glutamic acid,HEPG2,0
Sorafenib,Glycine,HEPG2,0
Sorafenib,Calcifediol,HEPG2,0
Sorafenib,Creatine,HEPG2,0
Sorafenib,Tryptophan,HEPG2,0
Sorafenib,Cysteine,HEPG2,0
Sorafenib,Thiamine,HEPG2,0
Sorafenib,Ergocalciferol,HEPG2,0
Sorafenib,Threonine,HEPG2,0
Sorafenib,NADH,HEPG2,0
Sorafenib,Folic acid,HEPG2,0
Sorafenib,Valine,HEPG2,0
Sorafenib,Vitamin A,HEPG2,0
Sorafenib,Vitamin E,HEPG2,0
Sorafenib,Pyridoxine,HEPG2,0
Sorafenib,Cholecalciferol,HEPG2,0
Sorafenib,Adenine,HEPG2,0
Sorafenib,Asparagine,HEPG2,0
Sorafenib,Pravastatin,HEPG2,0
Sorafenib,Valsartan,HEPG2,0
Sorafenib,Ramipril,HEPG2,0
Sorafenib,Masoprocol,HEPG2,0
Sorafenib,Flunisolide,HEPG2,0
Sorafenib,Baclofen,HEPG2,0
Sorafenib,Lorazepam,HEPG2,0
Sorafenib,Esmolol,HEPG2,0
Sorafenib,Bortezomib,HEPG2,0
Sorafenib,Ethchlorvynol,HEPG2,0
Sorafenib,Carbidopa,HEPG2,0
Sorafenib,Indecainide,HEPG2,0
Sorafenib,Tramadol,HEPG2,0
Sorafenib,Betaxolol,HEPG2,0
Sorafenib,Troglitazone,HEPG2,0
Sorafenib,Oseltamivir,HEPG2,0
Sorafenib,Erythromycin,HEPG2,0
Sorafenib,Sildenafil,HEPG2,0
Sorafenib,Dofetilide,HEPG2,0
Sorafenib,Pyrimethamine,HEPG2,0
Sorafenib,Reserpine,HEPG2,0
Sorafenib,Azithromycin,HEPG2,0
Sorafenib,Trospium,HEPG2,0
Sorafenib,Adapalene,HEPG2,0
Sorafenib,Midodrine,HEPG2,0
Sorafenib,Pantoprazole,HEPG2,0
Sorafenib,Torasemide,HEPG2,0
Sorafenib,Eletriptan,HEPG2,0
Sorafenib,Moxifloxacin,HEPG2,0
Sorafenib,Oxyphenonium,HEPG2,0
Sorafenib,Isoetharine,HEPG2,0
Sorafenib,Glimepiride,HEPG2,0
Sorafenib,Diflorasone,HEPG2,0
Sorafenib,Guanadrel,HEPG2,0
Sorafenib,Lovastatin,HEPG2,0
Sorafenib,Pregabalin,HEPG2,0
Sorafenib,Temazepam,HEPG2,0
Sorafenib,Aminosalicylic acid,HEPG2,0
Sorafenib,Milrinone,HEPG2,0
Sorafenib,Alclometasone,HEPG2,0
Sorafenib,Cladribine,HEPG2,0
Sorafenib,Ranolazine,HEPG2,0
Sorafenib,Mesalazine,HEPG2,0
Sorafenib,Ziprasidone,HEPG2,0
Sorafenib,Methysergide,HEPG2,0
Sorafenib,Cabergoline,HEPG2,0
Sorafenib,Phenytoin,HEPG2,0
Sorafenib,Medrysone,HEPG2,0
Sorafenib,Diethylstilbestrol,HEPG2,0
Sorafenib,Anagrelide,HEPG2,0
Sorafenib,Carmustine,HEPG2,0
Sorafenib,Metoprolol,HEPG2,0
Sorafenib,Dicoumarol,HEPG2,0
Sorafenib,Ropinirole,HEPG2,0
Sorafenib,Isradipine,HEPG2,0
Sorafenib,Betazole,HEPG2,0
Sorafenib,Topiramate,HEPG2,0
Sorafenib,Olmesartan,HEPG2,0
Sorafenib,Amsacrine,HEPG2,0
Sorafenib,Theophylline,HEPG2,0
Sorafenib,Argatroban,HEPG2,0
Sorafenib,Liothyronine,HEPG2,0
Sorafenib,Disopyramide,HEPG2,0
