Epoch: 0, Train Loss: 0.4027, Train Acc: 0.9089,Test Loss: 0.3903, Test Acc: 0.9226
Epoch: 1, Train Loss: 0.4044, Train Acc: 0.9065,Test Loss: 0.3731, Test Acc: 0.9378
Epoch: 2, Train Loss: 0.4067, Train Acc: 0.9049,Test Loss: 0.3743, Test Acc: 0.9386
Epoch: 3, Train Loss: 0.3995, Train Acc: 0.9135,Test Loss: 0.3924, Test Acc: 0.9211
Epoch: 4, Train Loss: 0.4006, Train Acc: 0.9109,Test Loss: 0.3861, Test Acc: 0.9258
Epoch: 5, Train Loss: 0.3946, Train Acc: 0.9163,Test Loss: 0.4198, Test Acc: 0.8868
Epoch: 6, Train Loss: 0.4051, Train Acc: 0.9053,Test Loss: 0.3830, Test Acc: 0.9306
Epoch: 7, Train Loss: 0.3944, Train Acc: 0.9175,Test Loss: 0.3943, Test Acc: 0.9179
Epoch: 8, Train Loss: 0.3912, Train Acc: 0.9209,Test Loss: 0.3908, Test Acc: 0.9203
Epoch: 9, Train Loss: 0.3877, Train Acc: 0.9241,Test Loss: 0.3848, Test Acc: 0.9274
Epoch: 10, Train Loss: 0.3909, Train Acc: 0.9219,Test Loss: 0.3840, Test Acc: 0.9274
Epoch: 11, Train Loss: 0.4150, Train Acc: 0.8962,Test Loss: 0.4066, Test Acc: 0.9043
Epoch: 12, Train Loss: 0.3907, Train Acc: 0.9221,Test Loss: 0.3873, Test Acc: 0.9234
Epoch: 13, Train Loss: 0.3865, Train Acc: 0.9259,Test Loss: 0.3865, Test Acc: 0.9242
Epoch: 14, Train Loss: 0.3875, Train Acc: 0.9251,Test Loss: 0.3825, Test Acc: 0.9298
Epoch: 15, Train Loss: 0.3837, Train Acc: 0.9292,Test Loss: 0.4267, Test Acc: 0.8836
Epoch: 16, Train Loss: 0.3905, Train Acc: 0.9227,Test Loss: 0.3853, Test Acc: 0.9282
Epoch: 17, Train Loss: 0.3905, Train Acc: 0.9235,Test Loss: 0.4050, Test Acc: 0.9091
Epoch: 18, Train Loss: 0.3880, Train Acc: 0.9237,Test Loss: 0.3995, Test Acc: 0.9107
Epoch: 19, Train Loss: 0.3868, Train Acc: 0.9255,Test Loss: 0.3860, Test Acc: 0.9274
Epoch: 20, Train Loss: 0.3827, Train Acc: 0.9306,Test Loss: 0.3898, Test Acc: 0.9219
Epoch: 21, Train Loss: 0.3821, Train Acc: 0.9302,Test Loss: 0.3913, Test Acc: 0.9226
Epoch: 22, Train Loss: 0.3824, Train Acc: 0.9300,Test Loss: 0.3977, Test Acc: 0.9171
Epoch: 23, Train Loss: 0.3821, Train Acc: 0.9298,Test Loss: 0.3933, Test Acc: 0.9179
Epoch: 24, Train Loss: 0.3846, Train Acc: 0.9286,Test Loss: 0.3891, Test Acc: 0.9234
Epoch: 25, Train Loss: 0.3819, Train Acc: 0.9298,Test Loss: 0.4008, Test Acc: 0.9107
Epoch: 26, Train Loss: 0.3812, Train Acc: 0.9304,Test Loss: 0.3956, Test Acc: 0.9163
Epoch: 27, Train Loss: 0.3839, Train Acc: 0.9282,Test Loss: 0.3969, Test Acc: 0.9163
Epoch: 28, Train Loss: 0.3815, Train Acc: 0.9316,Test Loss: 0.3978, Test Acc: 0.9131
Epoch: 29, Train Loss: 0.3785, Train Acc: 0.9350,Test Loss: 0.3896, Test Acc: 0.9234
Epoch: 30, Train Loss: 0.3792, Train Acc: 0.9336,Test Loss: 0.4020, Test Acc: 0.9067
Epoch: 31, Train Loss: 0.3805, Train Acc: 0.9336,Test Loss: 0.4024, Test Acc: 0.9083
Epoch: 32, Train Loss: 0.3839, Train Acc: 0.9286,Test Loss: 0.4472, Test Acc: 0.8612
Epoch: 33, Train Loss: 0.3874, Train Acc: 0.9249,Test Loss: 0.4013, Test Acc: 0.9091
Epoch: 34, Train Loss: 0.3810, Train Acc: 0.9322,Test Loss: 0.3954, Test Acc: 0.9147
Epoch: 35, Train Loss: 0.3783, Train Acc: 0.9352,Test Loss: 0.3992, Test Acc: 0.9083
Epoch: 36, Train Loss: 0.3775, Train Acc: 0.9364,Test Loss: 0.4013, Test Acc: 0.9083
Epoch: 37, Train Loss: 0.3820, Train Acc: 0.9304,Test Loss: 0.4342, Test Acc: 0.8748
Epoch: 38, Train Loss: 0.3916, Train Acc: 0.9207,Test Loss: 0.4130, Test Acc: 0.9003
Epoch: 39, Train Loss: 0.3819, Train Acc: 0.9306,Test Loss: 0.4096, Test Acc: 0.9035
Epoch: 40, Train Loss: 0.3771, Train Acc: 0.9354,Test Loss: 0.3913, Test Acc: 0.9211
Epoch: 41, Train Loss: 0.3766, Train Acc: 0.9364,Test Loss: 0.3949, Test Acc: 0.9155
Epoch: 42, Train Loss: 0.3780, Train Acc: 0.9350,Test Loss: 0.4011, Test Acc: 0.9123
Epoch: 43, Train Loss: 0.3794, Train Acc: 0.9340,Test Loss: 0.3950, Test Acc: 0.9171
Epoch: 44, Train Loss: 0.3820, Train Acc: 0.9302,Test Loss: 0.4087, Test Acc: 0.8987
Epoch: 45, Train Loss: 0.3798, Train Acc: 0.9336,Test Loss: 0.4058, Test Acc: 0.9059
Epoch: 46, Train Loss: 0.3791, Train Acc: 0.9340,Test Loss: 0.4080, Test Acc: 0.9059
Epoch: 47, Train Loss: 0.3776, Train Acc: 0.9334,Test Loss: 0.3985, Test Acc: 0.9131
Epoch: 48, Train Loss: 0.3776, Train Acc: 0.9362,Test Loss: 0.4059, Test Acc: 0.9043
Epoch: 49, Train Loss: 0.3796, Train Acc: 0.9338,Test Loss: 0.4077, Test Acc: 0.9051
Epoch: 50, Train Loss: 0.3805, Train Acc: 0.9320,Test Loss: 0.4068, Test Acc: 0.9035
Epoch: 51, Train Loss: 0.3790, Train Acc: 0.9344,Test Loss: 0.4090, Test Acc: 0.9019
Epoch: 52, Train Loss: 0.3771, Train Acc: 0.9360,Test Loss: 0.4037, Test Acc: 0.9075
Epoch: 53, Train Loss: 0.3773, Train Acc: 0.9358,Test Loss: 0.4160, Test Acc: 0.8947
Epoch: 54, Train Loss: 0.3802, Train Acc: 0.9316,Test Loss: 0.4109, Test Acc: 0.8987
Epoch: 55, Train Loss: 0.3786, Train Acc: 0.9336,Test Loss: 0.4078, Test Acc: 0.9051
Epoch: 56, Train Loss: 0.3758, Train Acc: 0.9376,Test Loss: 0.3996, Test Acc: 0.9115
Epoch: 57, Train Loss: 0.3789, Train Acc: 0.9336,Test Loss: 0.4155, Test Acc: 0.8971
Epoch: 58, Train Loss: 0.3786, Train Acc: 0.9338,Test Loss: 0.4116, Test Acc: 0.8979
