Epoch: 0, Train Loss: 0.5129, Train Acc: 0.7861,Test Loss: 0.4997, Test Acc: 0.8006
Epoch: 1, Train Loss: 0.5128, Train Acc: 0.7877,Test Loss: 0.5015, Test Acc: 0.7998
Epoch: 2, Train Loss: 0.5120, Train Acc: 0.7893,Test Loss: 0.5052, Test Acc: 0.7943
Epoch: 3, Train Loss: 0.5113, Train Acc: 0.7879,Test Loss: 0.5019, Test Acc: 0.7959
Epoch: 4, Train Loss: 0.5119, Train Acc: 0.7865,Test Loss: 0.5046, Test Acc: 0.7982
Epoch: 5, Train Loss: 0.5109, Train Acc: 0.7901,Test Loss: 0.5062, Test Acc: 0.7951
Epoch: 6, Train Loss: 0.5112, Train Acc: 0.7859,Test Loss: 0.5064, Test Acc: 0.7959
Epoch: 7, Train Loss: 0.5102, Train Acc: 0.7895,Test Loss: 0.5064, Test Acc: 0.7990
Epoch: 8, Train Loss: 0.5104, Train Acc: 0.7923,Test Loss: 0.5124, Test Acc: 0.7871
Epoch: 9, Train Loss: 0.5099, Train Acc: 0.7901,Test Loss: 0.5089, Test Acc: 0.7927
Epoch: 10, Train Loss: 0.5095, Train Acc: 0.7907,Test Loss: 0.5079, Test Acc: 0.7982
Epoch: 11, Train Loss: 0.5096, Train Acc: 0.7907,Test Loss: 0.5075, Test Acc: 0.7927
Epoch: 12, Train Loss: 0.5089, Train Acc: 0.7903,Test Loss: 0.5083, Test Acc: 0.7990
Epoch: 13, Train Loss: 0.5113, Train Acc: 0.7905,Test Loss: 0.5136, Test Acc: 0.7823
Epoch: 14, Train Loss: 0.5088, Train Acc: 0.7911,Test Loss: 0.5122, Test Acc: 0.7927
Epoch: 15, Train Loss: 0.5094, Train Acc: 0.7919,Test Loss: 0.5098, Test Acc: 0.7903
Epoch: 16, Train Loss: 0.5084, Train Acc: 0.7893,Test Loss: 0.5168, Test Acc: 0.7855
Epoch: 17, Train Loss: 0.5094, Train Acc: 0.7897,Test Loss: 0.5146, Test Acc: 0.7871
Epoch: 18, Train Loss: 0.5092, Train Acc: 0.7905,Test Loss: 0.5128, Test Acc: 0.7895
Epoch: 19, Train Loss: 0.5084, Train Acc: 0.7921,Test Loss: 0.5126, Test Acc: 0.7919
Epoch: 20, Train Loss: 0.5091, Train Acc: 0.7911,Test Loss: 0.5135, Test Acc: 0.7903
Epoch: 21, Train Loss: 0.5083, Train Acc: 0.7907,Test Loss: 0.5174, Test Acc: 0.7863
Epoch: 22, Train Loss: 0.5088, Train Acc: 0.7897,Test Loss: 0.5127, Test Acc: 0.7847
Epoch: 23, Train Loss: 0.5095, Train Acc: 0.7895,Test Loss: 0.5149, Test Acc: 0.7863
Epoch: 24, Train Loss: 0.5099, Train Acc: 0.7933,Test Loss: 0.5153, Test Acc: 0.7903
Epoch: 25, Train Loss: 0.5087, Train Acc: 0.7897,Test Loss: 0.5191, Test Acc: 0.7815
Epoch: 26, Train Loss: 0.5087, Train Acc: 0.7915,Test Loss: 0.5129, Test Acc: 0.7847
Epoch: 27, Train Loss: 0.5082, Train Acc: 0.7905,Test Loss: 0.5137, Test Acc: 0.7879
Epoch: 28, Train Loss: 0.5080, Train Acc: 0.7889,Test Loss: 0.5192, Test Acc: 0.7863
