score,TRUE,pred
0.578970621,1,1
0.669226394,1,1
0.454095995,1,0
0.400663458,1,0
0.263771452,1,0
0.213340245,1,0
0.646396956,1,1
0.477105183,1,0
0.853575274,1,1
0.786962775,1,1
0.778900139,1,1
0.756751541,1,1
0.891172371,1,1
0.889124025,1,1
0.510286135,1,1
0.442813487,1,0
0.176041207,1,0
0.174074725,1,0
0.634698384,1,1
0.39139436,1,0
0.501147894,1,1
0.518134908,1,1
0.809766806,1,1
0.641233135,1,1
0.785447192,1,1
0.548115324,1,1
0.608738518,1,1
0.788422183,1,1
0.714580485,1,1
0.656889505,1,1
0.77939175,1,1
0.640645152,1,1
0.428665358,1,0
0.650685026,1,1
0.925898452,1,1
0.867496554,1,1
0.917264747,1,1
0.74922188,1,1
0.800207705,1,1
0.892444464,1,1
0.779213643,1,1
0.891841513,1,1
0.910988497,1,1
0.865071388,1,1
0.830370309,1,1
0.745019909,1,1
0.906909492,1,1
0.797219846,1,1
0.781841344,1,1
0.697053024,1,1
0.818192269,1,1
0.876117286,1,1
0.744694669,1,1
0.870951711,1,1
0.611694534,1,1
0.651605279,1,1
0.847480158,1,1
0.868845047,1,1
0.839628322,1,1
0.88948861,1,1
0.833185767,1,1
0.894051189,1,1
0.788758113,1,1
0.77748782,1,1
0.677484329,1,1
0.763376556,1,1
0.817085567,1,1
0.761643238,1,1
0.840381084,1,1
0.530842661,1,1
0.584245068,1,1
0.646221365,1,1
0.224378589,1,0
0.605275221,1,1
0.587439427,1,1
0.593354498,1,1
0.341259881,1,0
0.732896539,1,1
0.546201017,1,1
0.637618885,1,1
0.3740246,1,0
0.491067774,1,0
0.476585815,1,0
0.53384226,1,1
0.319630012,1,0
0.51009961,1,1
0.420843175,1,0
0.610882368,1,1
0.655132608,1,1
0.889061435,1,1
0.952786527,1,1
0.794850233,1,1
0.674461953,1,1
0.678114016,1,1
0.78890872,1,1
0.833963146,1,1
0.709715543,1,1
0.782989127,1,1
0.87754442,1,1
0.767132307,1,1
0.748113275,1,1
0.791558718,1,1
0.5715274,1,1
0.653388139,1,1
0.799446152,1,1
0.828019939,1,1
0.74756253,1,1
0.751327326,1,1
0.763630084,1,1
0.794493735,1,1
0.850326074,1,1
0.891263121,1,1
0.880359938,1,1
0.771126542,1,1
0.712955472,1,1
0.740403726,1,1
0.620600781,1,1
0.618203323,1,1
0.869507223,1,1
0.336938985,1,0
0.519569449,1,1
0.300710815,1,0
0.321240032,1,0
0.441728732,1,0
0.522254499,1,1
0.56940583,1,1
0.669721033,1,1
0.539488045,1,1
0.499830644,1,0
0.711935251,1,1
0.512862346,1,1
0.565409744,1,1
0.758506718,1,1
0.552157046,1,1
0.559922517,1,1
0.570729371,1,1
0.42093773,1,0
0.549749644,1,1
0.507539599,1,1
0.864214845,1,1
0.509129349,1,1
0.608660114,1,1
0.484296168,1,0
0.542101965,1,1
0.712293741,1,1
0.458027167,1,0
0.551851227,1,1
0.76284494,1,1
0.548992534,1,1
0.820274219,1,1
0.749792291,1,1
0.831824812,1,1
0.863653352,1,1
0.855657471,1,1
0.738581698,1,1
0.872299779,1,1
0.663806891,1,1
0.694545523,1,1
0.58141929,1,1
0.570949236,1,1
0.712011826,1,1
0.670261822,1,1
0.859548614,1,1
0.55970451,1,1
0.813464086,1,1
0.640361461,1,1
