score,TRUE,pred
0.57,1,1
0.52,1,1
0.44,1,0
0.41,1,0
0.38,1,0
0.27,1,0
0.49,1,0
0.44,1,0
0.66,1,1
0.49,1,0
0.56,1,1
0.55,1,1
0.66,1,1
0.51,1,1
0.56,1,1
0.62,1,1
0.67,1,1
0.16,1,0
0.56,1,1
0.52,1,1
0.56,1,1
0.415,1,0
0.65,1,1
0.66,1,1
0.65,1,1
0.435,1,0
0.59,1,1
0.72,1,1
0.56,1,1
0.69,1,1
0.73,1,1
0.84,1,1
0.69,1,1
0.83,1,1
1,1,1
0.96,1,1
0.97,1,1
0.65,1,1
0.98,1,1
0.97,1,1
0.88,1,1
0.92,1,1
1,1,1
0.98,1,1
0.96,1,1
0.85,1,1
0.99,1,1
0.89,1,1
0.96,1,1
0.91,1,1
0.93,1,1
1,1,1
0.95,1,1
0.99,1,1
0.62,1,1
0.53,1,1
0.99,1,1
0.97,1,1
0.97,1,1
1,1,1
0.98,1,1
0.96,1,1
0.63,1,1
0.65,1,1
0.6,1,1
0.62,1,1
0.43,1,0
0.67,1,1
0.98,1,1
0.5,1,0
0.49,1,0
0.55,1,1
0.38,1,0
0.69,1,1
0.78,1,1
0.5,1,0
0.5,1,0
0.53,1,1
0.43,1,0
0.59,1,1
0.54,1,1
0.56,1,1
0.51,1,1
0.47,1,0
0.49,1,0
0.63,1,1
0.57,1,1
0.56,1,1
0.93,1,1
0.97,1,1
0.98,1,1
0.92,1,1
0.67,1,1
0.95,1,1
0.7,1,1
0.94,1,1
0.58,1,1
0.89,1,1
0.92,1,1
0.61,1,1
0.75,1,1
0.57,1,1
0.78,1,1
0.24,1,0
0.76,1,1
0.94,1,1
0.7,1,1
0.94,1,1
0.9,1,1
0.95,1,1
0.93,1,1
1,1,1
0.99,1,1
0.87,1,1
0.88,1,1
0.96,1,1
0.72,1,1
0.88,1,1
0.98,1,1
0.583333333,1,1
0.58,1,1
0.506666667,1,1
0.496666667,1,0
0.57,1,1
0.555,1,1
0.42,1,0
0.52,1,1
0.42,1,0
0.4,1,0
0.44,1,0
0.47,1,0
0.55,1,1
0.49,1,0
0.55,1,1
0.55,1,1
0.5,1,0
0.47,1,0
0.53,1,1
0.52,1,1
0.93,1,1
0.82,1,1
0.79,1,1
0.43,1,0
0.46,1,0
0.65,1,1
0.58,1,1
0.91,1,1
0.62,1,1
0.6,1,1
0.69,1,1
0.64,1,1
0.72,1,1
0.98,1,1
0.96,1,1
0.86,1,1
0.85,1,1
0.68,1,1
0.77,1,1
0.59,1,1
0.47,1,0
0.52,1,1
0.51,1,1
0.94,1,1
0.53,1,1
0.96,1,1
0.92,1,1
0.92,1,1
0.62,1,1
0.92,1,1
0.95,1,1
0.53,1,1
0.65,1,1
0.496666667,1,0
0.56,1,1
0.56,1,1
0.58,1,1
0.59,1,1
0.52,1,1
0.55,1,1
0.55,1,1
0.57,1,1
0.56,1,1
0.506666667,1,1
0.46,1,0
0.475,1,0
0.38,1,0
0.526666667,1,1
0.8,1,1
0.756666667,1,1
0.611666667,1,1
0.65,1,1
0.63,1,1
0.62,1,1
0.55,1,1
0.73,1,1
0.53,1,1
0.57,1,1
0.36,1,0
0.47,1,0
0.47,1,0
0.4,1,0
0.48,1,0
0.44,1,0
0.48,1,0
0.44,1,0
0.48,1,0
0.46,1,0
0.543333333,1,1
0.716666667,1,1
0.655,1,1
0.599166667,1,1
0.6625,1,1
0.918333333,1,1
0.85,1,1
0.83,1,1
0.985,1,1
0.93,1,1
0.844166667,1,1
0.595277778,1,1
0.63,1,1
0.666666667,1,1
0.6625,1,1
0.705,1,1
0.53,1,1
0.34,1,0
0.7285,1,1
0.613333333,1,1
0.83,1,1
0.595,1,1
0.47,1,0
0.699166667,1,1
0.586666667,1,1
0.46,1,0
0.46,1,0
0.67,1,1
