score,TRUE,pred
0.26614854,1,0
0.96139765,1,1
0.024390958,1,0
0.19330457,1,0
0.010886111,1,0
0.004287888,1,0
0.10320389,1,0
0.71459794,1,1
0.9249268,1,1
0.6159309,1,1
0.97351426,1,1
0.96414775,1,1
0.9786809,1,1
0.85349137,1,1
0.7939055,1,1
0.23101263,1,0
0.9114766,1,1
0.053467993,1,0
0.29457378,1,0
0.87778515,1,1
0.72080463,1,1
0.8457295,1,1
0.96308124,1,1
0.6081428,1,1
0.7107515,1,1
0.78584534,1,1
0.65887654,1,1
0.98268235,1,1
0.8642399,1,1
0.63769096,1,1
0.9483856,1,1
0.9685966,1,1
0.79855394,1,1
0.95613474,1,1
0.9936417,1,1
0.98983485,1,1
0.99947685,1,1
0.89352494,1,1
0.9993711,1,1
0.98527896,1,1
0.95472467,1,1
0.9955142,1,1
0.99962735,1,1
0.99534273,1,1
0.9974698,1,1
0.9623261,1,1
0.9953738,1,1
0.963457,1,1
0.9968964,1,1
0.9962238,1,1
0.99416393,1,1
0.998914,1,1
0.9793632,1,1
0.9977496,1,1
0.71708465,1,1
0.21412572,1,0
0.9923815,1,1
0.99491787,1,1
0.99808747,1,1
0.9995834,1,1
0.9939353,1,1
0.99555606,1,1
0.95222205,1,1
0.82383204,1,1
0.8566216,1,1
0.6942862,1,1
0.555255,1,1
0.35554308,1,0
0.98075384,1,1
0.35228187,1,0
0.7185294,1,1
0.31845167,1,0
0.54297245,1,1
0.8495317,1,1
0.7540666,1,1
0.7761061,1,1
0.36513788,1,0
0.3508796,1,0
0.5812623,1,1
0.9683943,1,1
0.06527394,1,0
0.08659812,1,0
0.5475725,1,1
0.3333361,1,0
0.06600978,1,0
0.4519057,1,0
0.4296297,1,0
0.5018452,1,1
0.987688,1,1
0.9979876,1,1
0.99932086,1,1
0.9978987,1,1
0.98330474,1,1
0.9863306,1,1
0.86528844,1,1
0.9939883,1,1
0.8702013,1,1
0.9721799,1,1
0.9959194,1,1
0.6074341,1,1
0.9590748,1,1
0.760543,1,1
0.8554999,1,1
0.2594706,1,0
0.97701514,1,1
0.9812583,1,1
0.9085553,1,1
0.9919973,1,1
0.9911357,1,1
0.9966979,1,1
0.9963834,1,1
0.9995097,1,1
0.99971586,1,1
0.9841541,1,1
0.9940765,1,1
0.9867269,1,1
0.8848023,1,1
0.89401263,1,1
0.9995394,1,1
0.56120265,1,1
0.4106621,1,0
0.13722372,1,0
0.27864748,1,0
0.5282005,1,1
0.54256606,1,1
0.21576566,1,0
0.11389256,1,0
0.041351493,1,0
0.08485861,1,0
0.10187069,1,0
0.11237126,1,0
0.96506107,1,1
0.83584815,1,1
0.7683819,1,1
0.7083055,1,1
0.6186148,1,1
0.5624797,1,1
0.8386492,1,1
0.41201058,1,0
0.980719,1,1
0.9701405,1,1
0.94673383,1,1
0.40153015,1,0
0.50099665,1,1
0.7948436,1,1
0.19851606,1,0
0.95807517,1,1
0.9793482,1,1
0.79672325,1,1
0.93737423,1,1
0.9947082,1,1
0.9301204,1,1
0.9929148,1,1
0.9990675,1,1
0.95732456,1,1
0.99906427,1,1
0.57140094,1,1
0.9436184,1,1
0.7009005,1,1
0.75393474,1,1
0.94157916,1,1
0.78184974,1,1
0.9879391,1,1
0.72578925,1,1
0.99133426,1,1
0.971038,1,1
0.99468154,1,1
0.7989966,1,1
0.9850448,1,1
0.96257794,1,1
0.7481932,1,1
0.97918004,1,1
0.85904014,1,1
0.7515121,1,1
0.7360133,1,1
0.6932883,1,1
0.6208771,1,1
0.948699,1,1
0.8654275,1,1
0.79256785,1,1
0.31843203,1,0
0.7228855,1,1
0.41495356,1,0
0.008438275,1,0
0.38816985,1,0
0.63320607,1,1
0.85540277,1,1
0.98705715,1,1
0.9063667,1,1
0.8103901,1,1
0.9870883,1,1
0.9011019,1,1
0.38614646,1,0
0.93077636,1,1
0.9894733,1,1
0.9147692,1,1
0.20524107,1,0
0.46921495,1,0
0.89550287,1,1
0.18843584,1,0
0.23836415,1,0
0.7043658,1,1
0.34848514,1,0
0.35513246,1,0
0.5744614,1,1
0.4264699,1,0
0.3045828,1,0
0.5726046,1,1
0.97350955,1,1
0.913221,1,1
0.8492906,1,1
0.7845809,1,1
0.9861734,1,1
0.9387119,1,1
0.97839624,1,1
0.98127717,1,1
0.94648707,1,1
0.95538443,1,1
0.7625501,1,1
0.7929318,1,1
0.9944612,1,1
0.7946098,1,1
0.9286153,1,1
0.90822995,1,1
0.03903399,1,0
0.9943802,1,1
0.97023094,1,1
0.9614162,1,1
0.9580791,1,1
0.29836905,1,0
0.9062969,1,1
0.93410337,1,1
0.09864011,1,0
0.55762345,1,1
0.9616302,1,1
0.8829372,1,1
0.8390989,1,1
0.9938806,1,1
0.30127653,1,0
0.9125152,1,1
0.037604146,1,0
0.009565641,1,0
0.08051729,1,0
0.86372244,1,1
0.14187507,1,0
0.15319496,1,0
0.17771123,1,0
0.38344997,1,0
0.82937866,1,1
0.59295166,1,1
0.020018533,1,0
0.9528716,1,1
0.95397645,1,1
0.9713885,1,1
0.9943297,1,1
0.99230194,1,1
0.8267991,1,1
0.97411036,1,1
0.5239078,1,1
0.9029019,1,1
0.9908103,1,1
0.33123687,1,0
0.15162972,1,0
0.62491006,1,1
0.7631801,1,1
0.24841529,1,0
0.27697772,1,0
0.2295979,1,0
0.14081663,1,0
0.38804042,1,0
0.11817427,1,0
0.48237464,1,0
0.46124727,1,0
0.32457215,1,0
0.17646222,1,0
0.12907815,1,0
0.18504861,1,0
0.30260596,1,0
0.76941776,1,1
0.17930177,1,0
0.3031067,1,0
0.21105994,1,0
0.09979032,1,0
0.793584,1,1
0.27284768,1,0
0.75323254,1,1
0.40320402,1,0
0.059947196,1,0
0.82386076,1,1
0.9746354,1,1
0.95581704,1,1
0.8975315,1,1
0.74176973,1,1
0.9430837,1,1
0.97643137,1,1
0.70980424,1,1
0.9569782,1,1
0.95364213,1,1
0.3691221,1,0
0.8228532,1,1
0.49179953,1,0
0.07659117,1,0
0.52793413,1,1
0.89357454,1,1
0.4082721,1,0
0.37694418,1,0
0.18649645,1,0
0.34818593,1,0
0.59015954,1,1
0.11009246,1,0
0.35745028,1,0
0.37536445,1,0
0.115222976,1,0
0.41072428,1,0
0.9345099,1,1
0.9940176,1,1
0.9925829,1,1
0.9768786,1,1
0.87166876,1,1
0.98033017,1,1
0.8540077,1,1
0.970259,1,1
0.9850374,1,1
0.96716,1,1
0.7915793,1,1
0.90633863,1,1
0.96442163,1,1
0.041773375,1,0
0.6398955,1,1
0.09331966,1,0
0.5572367,1,1
0.6726802,1,1
0.8350648,1,1
0.0625501,1,0
0.71453255,1,1
0.88431567,1,1
0.023186987,1,0
0.6445359,1,1
0.90550244,1,1
0.97829425,1,1
0.87095875,1,1
0.471968,1,0
0.38276798,1,0
0.730523,1,1
0.9456563,1,1
0.9543608,1,1
0.82148135,1,1
0.9420509,1,1
0.98853046,1,1
0.81989115,1,1
0.18515071,1,0
0.08209159,0,0
0.64263105,1,1
0.5671291,1,1
0.9534247,0,1
0.3901083,0,0
0.11476443,0,0
0.1482476,0,0
0.26092368,0,0
0.8363983,1,1
0.87483954,1,1
0.24829827,1,0
0.9087585,1,1
0.4095311,1,0
0.8679857,1,1
0.8502842,1,1
0.964464,1,1
0.8651781,1,1
0.52973646,1,1
0.2967202,1,0
0.30474088,1,0
0.47264078,1,0
0.6927848,1,1
0.7895903,1,1
0.47402778,1,0
0.8701404,1,1
0.33964023,1,0
0.71205014,1,1
0.6263689,1,1
0.32384336,1,0
0.20471828,1,0
0.7492392,1,1
0.36190876,1,0
0.93074775,1,1
0.4632391,1,0
0.44382685,1,0
0.34638083,1,0
0.6837833,1,1
0.8283654,1,1
0.9035474,1,1
0.2541435,1,0
0.35420552,1,0
0.046882007,1,0
0.49321416,1,0
0.08147387,1,0
0.11298046,1,0
0.9384806,1,1
0.74433774,1,1
0.31295222,1,0
0.27672744,1,0
0.3909303,1,0
0.0781153,1,0
0.20507573,1,0
0.22069249,1,0
0.04258435,1,0
0.30378267,1,0
0.93072224,1,1
0.8135318,1,1
0.3077695,1,0
0.70486605,1,1
0.54797083,1,1
0.912839,1,1
0.81884485,1,1
0.88480204,1,1
0.41756573,1,0
0.3549391,1,0
0.20628223,1,0
0.050561626,1,0
0.23541678,1,0
0.19385839,1,0
0.7421653,1,1
0.98802906,1,1
0.79626244,1,1
0.6246715,1,1
0.19345227,1,0
0.451854,1,0
0.6945232,1,1
0.7366077,1,1
0.7836291,0,1
0.092904605,1,0
0.6832813,1,1
0.17535679,1,0
0.39864248,0,0
0.6423779,1,1
0.90223056,1,1
0.83162844,1,1
0.9565483,1,1
0.23708892,1,0
0.30924335,1,0
0.28319338,1,0
0.9530836,1,1
0.30161256,1,0
0.80613023,0,1
0.20369604,1,0
0.18119739,0,0
0.6032587,1,1
0.024528604,1,0
0.22662339,1,0
0.3241756,0,0
0.009848912,1,0
0.24326685,0,0
0.10062856,0,0
0.5200869,1,1
0.21303184,1,0
0.940146,1,1
0.7638511,0,1
0.11994597,1,0
0.77038753,0,1
0.3572452,0,0
0.10860302,0,0
0.84716314,1,1
0.26891068,1,0
0.40094683,1,0
0.14635485,1,0
0.16115436,0,0
0.81501114,0,1
0.64224946,0,1
0.43864506,1,0
0.009369787,1,0
0.95055014,1,1
0.5815065,1,1
0.7217464,1,1
0.9552066,1,1
0.5932199,1,1
0.20953335,0,0
0.27269337,1,0
0.21165706,0,0
0.9744812,1,1
0.8892361,0,1
0.5788322,1,1
0.98628473,1,1
0.9047726,1,1
0.7257749,1,1
0.81324005,1,1
0.6017973,1,1
0.5467247,1,1
0.70670074,1,1
0.98819846,0,1
0.5707706,1,1
0.7055697,1,1
0.23937865,1,0
0.1957817,0,0
0.12379161,1,0
0.32166946,0,0
0.02097395,0,0
0.0256582,0,0
0.13636416,0,0
0.16788213,0,0
0.15285145,0,0
0.4239877,0,0
0.000228988,0,0
0.001272906,0,0
0.002936595,1,0
0.000791825,0,0
0.002140233,0,0
0.00018576,0,0
0.000502891,0,0
0.003645045,1,0
0.005739213,0,0
0.14319053,0,0
0.2458239,0,0
0.09080306,0,0
0.2896077,0,0
0.067477345,0,0
0.14635444,0,0
0.07007653,0,0
0.8742934,1,1
0.9927844,0,1
0.62455195,0,1
0.9980544,1,1
0.9931538,1,1
0.986772,1,1
0.9899658,1,1
0.14839512,0,0
0.5485895,0,1
0.060702756,0,0
0.8550368,1,1
0.041475862,0,0
0.032297503,0,0
0.09613155,0,0
0.20527859,0,0
0.06711518,0,0
0.38051823,1,0
9.88E-05,0,0
0.004110681,0,0
0.010472302,0,0
0.008281876,0,0
0.005607845,0,0
0.003400508,0,0
0.56575125,1,1
0.025618188,0,0
0.029629612,1,0
0.9906483,1,1
0.9432786,1,1
0.055940527,1,0
0.8614132,1,1
0.031788535,0,0
0.14041305,0,0
0.00020873,0,0
0.000111795,0,0
0.000562791,0,0
0.001346169,1,0
0.010790867,0,0
0.006550833,0,0
0.006648796,0,0
0.050936244,0,0
0.022683986,1,0
0.00167242,0,0
0.007781236,0,0
0.000516632,0,0
0.055834327,0,0
0.0018212,0,0
0.000712521,1,0
0.00771451,0,0
0.05761823,0,0
0.002605555,0,0
0.010294469,0,0
0.029043533,1,0
0.022176322,0,0
0.002164064,1,0
0.02617633,0,0
0.15368037,1,0
0.07350912,0,0
0.12167049,0,0
0.3510244,1,0
0.009067715,0,0
0.01989613,0,0
0.10018591,0,0
0.011462226,0,0
0.10283145,1,0
0.14570293,1,0
0.010060856,0,0
0.11833565,0,0
0.004438982,0,0
0.014127221,0,0
0.06421824,0,0
0.0663996,0,0
0.011128093,0,0
0.007667268,0,0
0.005923829,0,0
0.21938513,1,0
0.001840761,0,0
0.001115751,1,0
0.018666532,0,0
0.0022955,0,0
0.016569773,0,0
0.018510306,0,0
0.005852501,0,0
0.005497866,0,0
0.4281893,0,0
0.12891461,0,0
0.2996759,0,0
0.028081082,0,0
0.020983545,1,0
0.009855941,0,0
0.66214013,0,1
0.17236848,0,0
0.2923354,0,0
0.6196254,0,1
0.02556858,0,0
0.54415226,1,1
0.00086192,0,0
0.34017837,0,0
0.41635507,1,0
0.31062773,0,0
0.3646632,0,0
0.5283921,0,1
0.7309009,0,1
0.011906975,0,0
0.022201689,0,0
0.010570494,0,0
0.030712731,0,0
0.18335459,0,0
0.022096008,0,0
0.7100643,1,1
0.055066716,0,0
0.11438454,0,0
0.5617431,0,1
0.05888205,0,0
0.18080214,0,0
0.41283047,0,0
0.024717895,0,0
0.8541136,1,1
0.2779473,0,0
0.06363393,0,0
0.2561658,0,0
0.9655115,1,1
0.13513832,0,0
0.108908854,0,0
0.3312038,0,0
0.08068676,0,0
0.48646137,1,0
0.004771981,0,0
0.001249807,0,0
0.000765798,0,0
0.014352624,0,0
0.01147156,0,0
0.0057881,0,0
0.03413204,0,0
0.06879355,0,0
0.60386807,0,1
0.053758923,0,0
0.6821119,0,1
0.5826463,0,1
0.5834882,1,1
0.71518344,1,1
0.74507916,1,1
0.092376426,0,0
0.2943627,0,0
0.00800226,0,0
0.000573657,0,0
0.000218569,0,0
0.000674882,0,0
0.000197529,0,0
0.000614894,0,0
0.001360299,0,0
0.000555119,0,0
0.000423247,0,0
0.002600056,0,0
0.000647067,0,0
0.2894697,0,0
0.23692952,0,0
0.108543046,0,0
0.4771659,0,0
0.2751017,0,0
0.17842776,0,0
0.67036676,0,1
0.5350791,0,1
0.22357513,0,0
0.041822296,0,0
0.92055166,1,1
0.50242645,1,1
0.46640006,0,0
0.03431495,0,0
0.98307693,1,1
0.6341709,0,1
0.5326386,1,1
0.012300566,0,0
0.012082251,0,0
0.07052492,0,0
0.08236095,0,0
0.10481444,0,0
0.06702965,0,0
0.34052113,0,0
0.08838902,0,0
0.076957025,0,0
0.025994617,0,0
0.095779285,0,0
0.11800312,0,0
0.16692841,1,0
0.5482042,0,1
0.199691,0,0
0.41541195,0,0
0.79620135,0,1
0.6044162,0,1
0.2677471,0,0
0.002151936,0,0
0.0540064,0,0
0.77802014,1,1
0.9822436,0,1
0.007627668,0,0
0.010595919,0,0
0.002447391,0,0
0.03791805,0,0
0.11100919,1,0
0.15639961,0,0
0.62430227,0,1
0.9378301,1,1
0.7184431,0,1
0.59871185,0,1
0.91316444,1,1
0.42911607,0,0
0.08689101,0,0
0.9708045,1,1
0.88538384,1,1
0.712846,0,1
0.9672432,1,1
0.6008188,0,1
0.9830016,0,1
0.78670764,0,1
0.7995652,0,1
0.57833385,0,1
0.99435174,1,1
0.7972084,0,1
0.8292488,0,1
0.6410921,0,1
0.40846634,0,0
0.9876765,1,1
0.98824966,1,1
0.98717284,1,1
0.9709517,1,1
0.98486245,1,1
0.99411434,1,1
0.9946583,1,1
0.9113158,1,1
0.9086623,1,1
0.83799744,1,1
0.33086145,0,0
0.0777582,0,0
0.19567649,0,0
0.10817738,0,0
0.058401063,1,0
0.11537667,1,0
0.29308796,1,0
0.016350547,0,0
0.0921078,0,0
0.46894088,0,0
0.14148434,0,0
0.36535254,0,0
0.06556828,0,0
0.73519194,0,1
0.03526511,0,0
0.10826005,0,0
0.88341355,0,1
0.08057424,0,0
0.3134608,0,0
0.36927179,0,0
0.4359113,0,0
0.011509744,0,0
0.13095213,0,0
0.34507188,0,0
0.13468854,1,0
0.011400343,1,0
0.046291806,1,0
0.9811008,0,1
0.88393354,0,1
0.9443704,0,1
0.22876985,0,0
0.9588969,0,1
0.3245624,1,0
0.15388733,1,0
0.4825317,0,0
0.60563475,1,1
0.08752933,1,0
0.18315375,1,0
0.00056522,0,0
0.001899851,0,0
0.000433791,0,0
0.019470816,0,0
0.000159981,0,0
0.001409217,0,0
0.000809307,0,0
0.002111774,0,0
0.5625661,0,1
0.24440917,0,0
0.15319237,0,0
0.43097436,0,0
0.49272072,0,0
0.19725989,0,0
0.106968224,0,0
0.10804541,0,0
0.12315492,0,0
0.10286353,0,0
0.02262794,0,0
0.11456499,0,0
0.12979068,0,0
0.03829649,0,0
0.5576939,0,1
0.0898681,0,0
0.05672136,0,0
0.1560507,0,0
0.03366365,0,0
0.5434342,0,1
0.63075113,0,1
0.6232244,0,1
0.88209504,0,1
0.77043015,0,1
0.9763156,0,1
0.59576666,1,1
0.8706309,0,1
0.05303376,0,0
0.6671133,0,1
0.056820594,0,0
0.11870887,0,0
0.6273116,0,1
0.19416307,0,0
0.28077576,0,0
0.006955307,0,0
0.00531283,0,0
0.055593535,0,0
0.049822476,0,0
0.3063438,0,0
0.030088568,0,0
0.004274781,0,0
0.99658763,1,1
0.9983966,1,1
0.9751418,1,1
0.96880484,1,1
0.07186791,0,0
0.076711625,1,0
0.2501575,0,0
0.009552323,0,0
0.7411719,0,1
0.9137165,0,1
0.89946854,0,1
0.10179505,0,0
0.099060856,0,0
0.5599978,0,1
0.35932404,0,0
0.44118458,0,0
0.50127643,0,1
0.23142338,0,0
0.5513586,1,1
0.7559407,0,1
0.9678419,1,1
0.38064143,0,0
0.03010477,0,0
0.006120116,0,0
0.32884502,0,0
0.06812313,0,0
0.009259147,0,0
0.11600386,0,0
0.5317312,1,1
0.23748063,1,0
0.049626566,1,0
0.15988438,1,0
0.40233934,1,0
0.06959391,1,0
0.17540081,0,0
0.76710385,1,1
0.22111183,1,0
0.9457456,1,1
0.5121482,1,1
0.6406911,1,1
0.920614,1,1
0.89481676,1,1
0.010894576,1,0
0.18204166,0,0
0.72656244,1,1
0.9891424,1,1
0.7173543,1,1
0.82109284,1,1
0.43627465,1,0
0.7198794,1,1
0.93573636,1,1
0.48312935,1,0
0.40303734,1,0
0.9699569,1,1
0.7091995,1,1
0.017290248,0,0
0.00510463,0,0
0.05437917,0,0
0.08748493,1,0
0.000360744,0,0
0.001656505,0,0
0.030641446,0,0
0.00367148,0,0
0.047484327,0,0
0.02012796,0,0
0.008885647,0,0
0.011530573,0,0
0.3062258,0,0
0.3062258,1,0
0.032856982,0,0
0.003938913,0,0
0.22073653,1,0
0.03988534,0,0
0.48157594,0,0
0.993305,1,1
0.5645167,0,1
0.740125,1,1
0.052288353,1,0
0.9755745,1,1
0.3881557,0,0
0.047997177,0,0
0.010483203,0,0
0.3586049,1,0
0.18456471,1,0
0.013419773,0,0
0.023223361,0,0
0.009365707,0,0
0.01195689,0,0
0.008273538,0,0
0.014685105,0,0
0.00395744,0,0
0.018268228,0,0
0.1171653,0,0
0.003450276,0,0
0.06193189,0,0
0.041507512,0,0
0.21426569,1,0
0.14693904,0,0
0.040464982,0,0
0.0951927,0,0
0.14447592,0,0
0.33725223,1,0
0.11731566,0,0
0.027238287,0,0
0.012476251,0,0
0.5575191,0,1
0.17369543,1,0
0.041549783,0,0
0.8664246,1,1
0.04731638,0,0
0.03824912,0,0
0.41987377,1,0
0.08843445,0,0
0.029852178,0,0
0.011957047,0,0
0.006775172,0,0
0.009023114,0,0
0.006438892,0,0
0.012029891,0,0
0.08952907,0,0
0.003967846,0,0
0.003967846,1,0
0.077051155,0,0
0.56596,0,1
0.4141944,0,0
0.5886396,0,1
0.0884697,1,0
0.003267358,0,0
0.003712378,0,0
0.001246906,0,0
0.001558128,0,0
0.27575994,0,0
0.007041263,0,0
0.004864155,0,0
0.06502446,0,0
0.005294517,0,0
0.013667033,0,0
0.30485347,0,0
0.07446494,0,0
0.06972647,0,0
0.16232835,0,0
0.130796,0,0
0.08046238,0,0
0.009401548,0,0
0.17468722,0,0
0.039354634,0,0
0.006039671,0,0
0.042155404,0,0
0.08136547,1,0
0.05707123,0,0
0.082793154,0,0
0.04393191,0,0
0.028284742,0,0
0.16697289,0,0
0.805845,1,1
0.29663482,1,0
0.07364697,0,0
0.005756239,0,0
0.045980293,0,0
0.003570628,0,0
0.00169537,0,0
0.03180614,0,0
0.16715531,0,0
0.030549282,0,0
0.005416881,0,0
0.013824425,0,0
0.23971029,0,0
0.0541278,0,0
0.005846396,0,0
0.34631103,1,0
