Epoch: 0, Train Loss: 0.2715, Train Acc: 0.9466,Test Loss: 0.2650, Test Acc: 0.9490
Epoch: 1, Train Loss: 0.2720, Train Acc: 0.9470,Test Loss: 0.2637, Test Acc: 0.9498
Epoch: 2, Train Loss: 0.2676, Train Acc: 0.9464,Test Loss: 0.2677, Test Acc: 0.9506
Epoch: 3, Train Loss: 0.2619, Train Acc: 0.9488,Test Loss: 0.2647, Test Acc: 0.9506
Epoch: 4, Train Loss: 0.2542, Train Acc: 0.9526,Test Loss: 0.2589, Test Acc: 0.9530
Epoch: 5, Train Loss: 0.2534, Train Acc: 0.9534,Test Loss: 0.2674, Test Acc: 0.9442
Epoch: 6, Train Loss: 0.2563, Train Acc: 0.9520,Test Loss: 0.2627, Test Acc: 0.9458
Epoch: 7, Train Loss: 0.2539, Train Acc: 0.9528,Test Loss: 0.2625, Test Acc: 0.9522
Epoch: 8, Train Loss: 0.2511, Train Acc: 0.9544,Test Loss: 0.2585, Test Acc: 0.9506
Epoch: 9, Train Loss: 0.2499, Train Acc: 0.9552,Test Loss: 0.2587, Test Acc: 0.9498
Epoch: 10, Train Loss: 0.2488, Train Acc: 0.9550,Test Loss: 0.2601, Test Acc: 0.9474
Epoch: 11, Train Loss: 0.2480, Train Acc: 0.9571,Test Loss: 0.2636, Test Acc: 0.9474
Epoch: 12, Train Loss: 0.2500, Train Acc: 0.9554,Test Loss: 0.2662, Test Acc: 0.9458
Epoch: 13, Train Loss: 0.2489, Train Acc: 0.9542,Test Loss: 0.2645, Test Acc: 0.9474
Epoch: 14, Train Loss: 0.2475, Train Acc: 0.9577,Test Loss: 0.2671, Test Acc: 0.9458
Epoch: 15, Train Loss: 0.2476, Train Acc: 0.9559,Test Loss: 0.2679, Test Acc: 0.9450
Epoch: 16, Train Loss: 0.2467, Train Acc: 0.9571,Test Loss: 0.2688, Test Acc: 0.9458
Epoch: 17, Train Loss: 0.2469, Train Acc: 0.9571,Test Loss: 0.2689, Test Acc: 0.9442
Epoch: 18, Train Loss: 0.2482, Train Acc: 0.9559,Test Loss: 0.2716, Test Acc: 0.9442
