drug1,drug2,cell,label
5-FU,ABT-888,A375,0
5-FU,ABT-888,CAOV3,0
5-FU,ABT-888,HT144,0
5-FU,ABT-888,HT29,1
5-FU,ABT-888,LOVO,0
5-FU,ABT-888,NCIH1650,0
5-FU,ABT-888,NCIH23,0
5-FU,ABT-888,NCIH460,0
5-FU,ABT-888,OV90,0
5-FU,ABT-888,RKO,0
5-FU,ABT-888,RPMI7951,0
5-FU,ABT-888,SKMEL30,0
5-FU,ABT-888,SKMES1,0
5-FU,ABT-888,SW837,0
5-FU,ABT-888,T47D,1
5-FU,ABT-888,UACC62,0
5-FU,ABT-888,ZR751,0
5-FU,AZD1775,A2058,1
5-FU,AZD1775,A2780,1
5-FU,AZD1775,CAOV3,1
5-FU,AZD1775,ES2,1
5-FU,AZD1775,HCT116,1
5-FU,AZD1775,HT29,0
5-FU,AZD1775,KPL1,0
5-FU,AZD1775,LOVO,0
5-FU,AZD1775,MDAMB436,1
5-FU,AZD1775,NCIH1650,1
5-FU,AZD1775,NCIH23,0
5-FU,AZD1775,NCIH460,1
5-FU,AZD1775,OV90,0
5-FU,AZD1775,RKO,1
5-FU,AZD1775,RPMI7951,1
5-FU,AZD1775,SKMES1,1
5-FU,AZD1775,SKOV3,1
5-FU,AZD1775,T47D,1
5-FU,AZD1775,UACC62,1
5-FU,AZD1775,VCAP,0
5-FU,BORTEZOMIB,A2058,0
5-FU,BORTEZOMIB,A2780,0
5-FU,BORTEZOMIB,A375,0
5-FU,BORTEZOMIB,A427,0
5-FU,BORTEZOMIB,CAOV3,0
5-FU,BORTEZOMIB,ES2,0
5-FU,BORTEZOMIB,HCT116,0
5-FU,BORTEZOMIB,HT144,0
5-FU,BORTEZOMIB,HT29,0
5-FU,BORTEZOMIB,KPL1,0
5-FU,BORTEZOMIB,LOVO,0
5-FU,BORTEZOMIB,MDAMB436,0
5-FU,BORTEZOMIB,NCIH1650,0
5-FU,BORTEZOMIB,NCIH2122,0
5-FU,BORTEZOMIB,NCIH23,0
5-FU,BORTEZOMIB,NCIH460,0
5-FU,BORTEZOMIB,NCIH520,0
5-FU,BORTEZOMIB,OV90,0
5-FU,BORTEZOMIB,RPMI7951,0
5-FU,BORTEZOMIB,SKMEL30,0
5-FU,BORTEZOMIB,SKMES1,0
5-FU,BORTEZOMIB,SKOV3,0
